Region,CNTRY_NAME,Tier,Primary Data Type,Primary Year,Primary Source,Secondary Data Type,Secondary Year,Secondary Source,Notes
Africa,Angola,1,report,2000,"FAO, 2001. Evaluation des resources forestieres mondiales 2000. Rapport Principal. Etude FAO Forets 140.",report,1975,Horsten F. 1983. Madeira - Une analise de situacao actual. ,
America,Anguilla,1,report,1982,Caribbean Development Bank 1984. Regional Forestry Section Study: Final Report,n/a,n/a,n/a,
America,Antigua and Barbuda,1,report,1980,"Atkins Land and Water Management. 1983. Soil and water conservation, Windward and Leeward Islands, Phase 1: Reconnaissance Study.",report,1991,"Bacon, PR. 1991. The Status of Mangrove Conservation in the Caricom Islands of the Eastern Caribbean.",
America,Aruba,1,atlas,1986,Atlas published by Eastern Caribbean Natural Area Management Program,n/a,n/a,n/a,
America,Bahamas,1,report,2000,FAO 2001. Validation Sheet Bahamas. FAO Rome,paper,1991,"Bacon, PR. 1993. Mangroves in the Lesser Antilles, Jamaica and Trinidad and Tobago. In: Lacerda L.D. 1993",
Asia,Bangladesh,3,report,2005-2007,National Forest and Tree Resources Assessment,imagery,2011-2012,forest land cover map,
America,Barbados,2,imagery,2001,"Helmer, E. et al. 2007: Distribution of land cover and forest formations for St. Kitts, Nevis, St Eustatius, Frenada, and Barbados for satellite imagery",n/a,n/a,n/a,
America,Belize,1,report,2004,"Meerman, J. and W. Sabido 2001. Central American Ecosystems: Belize. Programme for Belize, Belize City (update in 2004, but without citation).",imagery,2012,"Cherrington et al. 2012. Forest Cover and Deforestation in Belize, 2010-2012",
Africa,Benin,1,report,2007,"PBR2-2007. Inventaire forestier national ProCGRN, 2008 (PGDRN)",report,1996,"Akpado, L. 2000. Etude sur les formation forestieres naturelles et sur les plantations forestieres au Benin CE-FAO-Programme Partenariat (1998-2000)",
Asia,Bhutan,2,report,1995,"RGOB, 1995. Land Cover Figures of Bhutan, Ministry of Agriculture, Royal Government of Bhutan",report,2010,MoAF. 2010. Technical report Bhutan Land Cover Assessment 2010 (LCMP 2010),
America,Bolivia,1,imagery,2010,"Mapa de Cobertura y Uso Actual de la Tierra 2010-Viceministerio de Tierras-MDRyTMapa de Cobertura y Uso Actual de la Tierra, 2001-Superintendencia Agraria",imagery,2011,Avance de la deforestacion en Bolivia Autoridad de Bosque y Tierra,
Africa,Botswana,1,report,1990,"Land Utilization Division, Ministry of Agriculture, Republic of Botswana. 1990. Land Systems Map of the Republic of Botswana.",report,2005,FRA 2000. Botswana country report.,
America,Brazil,1,imagery,2002,"Ministry of Environment (MMA)/Project for Conservation and Sustainable Use of Brazilian Biological Diversity (PROBIO), 2007. Laventamento e mapeamento dos remanescentes de cobertura vegetal dos biomas em 2002. ",report,2002-2008,"Ministry of Environment (MMA)/ Brazilian Environmental and Renewable Natural Resources Institute (IBAMA) - Center of Remote Sensing, 2009.",
America,British Virgin Islands,1,report,1980,"Caribbean Conservation Association 1980. Preliminary Data areas - British Virgin Islands: Toortula, Virgin Gorda & Anegada. Caribbean Conservation Association. University of Michigan, USA.",report,2001,British Virgin Islands Government. 2001 Use of the coastal zones and seabeds (provided Mangrove forest numbers).,
Asia,Brunei,1,report,1996,"DOF, 1996. An Introduction to Forestry in Brunei Darussalam. Department of Forestry, Ministry of Industry and Primary Resources, Brunei Darussalam.",report,1979,"Anderson & Marsden, 1984. Forest Resources & Strategic Planning Study",
Africa,Burkina Faso,2,report,2002,"MAHRH, 2006: Base de Donnees d'Occupation des Terres (BDOT) du Burkina Faso (1992 et 2002)/ Ministere de l'Agriculture, de l'Hydraulique et des Ressources Halieutiques",report,2012,"MEDD, 2013 a: Bilan annuel de la campagne nationale de reforestation 2012.",
Africa,Burundi,1,report,2005,Min Env: Analyse d'attenuation des emissions de gaz a effet de serre.,report,2001,MINATET. Prospective d secteur forestier en Afrique a l'horizon 2020 (FOSA),
Asia,Cambodia,3,imagery,2005,"""original remote sensing data with adequate ground truthing""",imagery,2002,"""original remote sensing data with adequate ground truthing""",
Africa,Cameroon,1,report,2004,National Forest Assessment,report,2000,Rapport principal. Evaluation des ressources forestieres mondailes 2000. Forestry Paper 140 FAO. 2001,
America,Cayman Islands,3,report,2009,Cayman Islands National Biodiversity Action Plan 2009 (habitat mapping data source),book,2008,"Burton, FJ (2008b). Vegetation Classification for the Cayman Islands. In: Threatened Plants of the Cayman Islands: The Red List. Pub. Royal Botanic Gardens Kew: Richmond Surrey UK.",
Africa,Central African Republic,1,report,1999,"Mangala P.M., Zanga A. 1999. Republique Centrafricaine. Evaluation des ressouces forestieres ligneuses. Etude realisee dans le cadre de FRA 2000. FAO",report,2010,Les Forets du bassin du Congo: Etat des Forets 2010,Most numbers are from 1999 or older. 2010 provided suplimental information.
Africa,Chad,1,report,2013,Programme systeme d'Information pour le Developpement Rural et L'Amenagement du Terriotire,report,1999,"Rapport de consultation (FAO) sur les ressouces forestieres et les plantations: Bardoum Djekourbain, 1999.",
America,Colombia,2,imagery,2012,"IDEAM, 2013. Memoria Tecnica de la Cuantification de la deforestacion historica nacional escalas fina, (en proceso de publication). IDEAM, 2013. Concentracion de alertas tempranas de deforestacion para el primer semestre de 2013.",report,2010,"Cabrera, et. al, IDEAM, 2011. Memoria Tecnica de la Cuantificaion de la deforestacion historica nacional escalas gruesa y fina. Instituto de Hidrologia, Meteorologia y Estudios Ambientales - IDEAM - Bogota, D.C. Colombia 106p",
America,Costa Rica,3,imagery,2013,Sistema Nacional de Areas de Conservacion (SINAC/MINAE). Unidad de Monitoreo Forestal. 2013.,imagery,2005,"Fondo Nacional de Financiamiento Forestal. 2007. Estudio de Monitoreo de Cobertura Forestal de Costa Rica 2005. San Jose, Costa Rica. 2007.",
Africa,Cote d'Ivoire,1,imagery,1993,"Ministere de l'Agriculture et des Ressources Animales. Developpement rural et preservation de l'environnement forestier. Ejeux et prespectives en zone de foret dense DCGTx, Dec. 1993.",report,2004,"Minist. D'Etat, Minist. De l'Agriculture (Dir des cultures. Perennes)",
America,Cuba,1,report,2011,"Documento de la Dinamica Forestal, Direccion Forestal, Ministerio de la Agricultura. Emision anual",report,2011,Servicio Estatal Forestal,
Africa,Democratic Republic of the Congo,1,report,2005,Rapport FRA 2005,n/a,n/a,n/a,
Africa,Djibouti,1,report,1985,Cirad - IEMVT. 1987. Carte de la vegetation et des ressources pastorales. 1/250 000. dans: Institute de la carte internationale de la vegetation (1991),n/a,n/a,n/a,
America,Dominica,1,imagery,2000,"Wood, E. 2000. Land cover map for Dominica. Carbbean Vegetation and Landcover Mapping Initiative. The Nature Conservancy, International Institute of Tropical Forestry, US Forest Service, EROS Data Center, and US Geological Service.",aerial photography,1984,Meteorolog�a y Estudios,
America,Dominican Republic,3,imagery,2012,DR. Ministerio de Medio Ambiente y Recursos Naturales 2013. Mapa de uso de la tierra y cobertura forestal,n/a,n/a,n/a,
America,Ecuador,3,imagery,2008,"Ministerio del Ambiente del Ecuador, Proyecto Mapa Historico de Deforestacion del Ecuador Continental (MDH). Mapas de uso y coberrtura de la tierra de lo anos 1990, 2000, 2008.",report,2003,"Puyravaud, J. 2003. Standarizing the calculation of the annual rate of deforestation. Forest Ecology and Management.",
America,El Salvador,1,imagery,2002,"Instituto Geografico Nacional de El Salvador, 2003. Mapa de Ocupacion del Suelo.",n/a,n/a,n/a,"There are other sources used for definitions and context, but only the 2002 source was used for reported numbers."
Africa,Equatorial Guinea,1,report,1990,FAO. 1992. Guinea Ecuatorial. Inventario Forestal Explotario. Isla de Bioko,report,1991,FAO. 1991. Guinea Ecuatorial. Informe sobre la consultoria en fotointerpretacion.,
Africa,Eritrea,1,report,1997,FAO. 1997. Support to Forestry and Wildlife subsector. Pre-investment study tcp/eri/6721,report,2000,FRA 2000.,
Africa,Ethiopia,2,report,1995,"Woody Biomass Inventory and Strategic Planning Project, Ministry of Agriculture and Rural Development, May 2004 (used imagery from 1995, and 1986-1989)",report,2000s,"""several local level scholarly studies, MSc and PhD studies based on satellite imageries and GIS analyses""",2008 data source that only covered planted forests
America,French Guiana,2,report,2012,PAG 2012 - Occupation du sol sur le territoire du Parc Amazonien de Guyane. ,report,2006,IFN 2008 - Suivi de l'occupation du sol et des changements d'occupation de sol en Guyane par teledetection satellitaire.,
Africa,Gabon,2,report,2013,PDSIRFN (project development of an inventory system),report,2013,"Rapport de pre stratification forestiere, 2013, PDSIRFN; Plan national climat, 2013",
Africa,Ghana,2,report,1990-2010,"Report on mapping of forest cover and carbon stock in Ghana. Mapping Consultants Services, The Forest Preservation Program, Under a Japanese Grant Aid to the Republic of Ghana, 2013.",report,1996,"Kotey NA et al. (1998) Falling into Place, Ghana, Policy that Works for Forest and People. IIAD. United Kington. IIAD 1996.",
America,Grenada,1,imagery,2000,"Helmer et al 2008. Land Cover and Forest Formation Distributions for St. Kitts, Nevis, St. Eustatius, Grenada and Barbados from Decision Tree Classification of Cloud Cleared Satellite Imagery",report,1991,"Paterson, G. 2000. Grenada Country Report: Forestry outlook study for the Caribbean. In: Proceedings of Sub-regional Workshop on Data Collection and Outlook Effort for Forestry in the Caribbean, Port-of-Spain, Trinidad and Tobago, 21-25 Feb 2000. FAO, Rome.",
