week,alerts,above_ground_carbon_loss,cumulative_emissions,baseline_emissions,emissions_target,percent_to_emissions_target,area,cumulative_deforestation,deforestation_baseline,deforestation_target,percent_to_deforestation_target
1,889368,19.47806479,19.47806479,428,428,4.550949718,68058.37772,,,"1,488,427",4.57250357
2,916008,19.71906242,39.19712721,428,428,9.158207293,69922.43459,137980.8123,,"1,488,427",9.270243842
3,586824,14.10085911,53.29798632,428,428,12.45280054,44123.05983,,,"1,488,427",12.23465257
4,1196360,30.59109668,83.889083,428,428,19.60025304,91049.40828,,,"1,488,427",18.35180902
5,453868,8.522070014,92.41115301,428,428,21.59139089,33780.47877,,,"1,488,427",20.62135121
6,1693933,38.7037889,131.1149419,428,428,30.63433222,128759.6272,435693.3864,,"1,488,427",29.27206953
7,1576831,36.54462893,167.6595708,428,428,39.17279693,119705.5598,,,"1,488,427",37.31449015
8,1012304,21.01234338,188.6719142,428,428,44.08222295,76963.67504,,,"1,488,427",42.48529631
9,798349,18.74480076,207.416715,428,428,48.4618493,60834.53131,,,"1,488,427",46.5724656
10,692884,15.34003294,222.7567479,428,428,52.04596914,52461.78678,,,"1,488,427",50.09711187
11,271841,5.627761191,228.3845091,428,428,53.36086662,20212.68367,,,"1,488,427",51.45510146
12,588529,13.42466961,241.8091787,428,428,56.49747167,44640.6262,,,"1,488,427",54.45428289
13,151982,3.190414308,244.999593,428,428,57.24289557,11344.51367,,,"1,488,427",55.21646429
14,301606,6.531201549,251.5307946,428,428,58.76887724,22320.30462,,,"1,488,427",56.71605443
15,594043,14.0844022,265.6151968,428,428,62.05962542,44689.75437,888866.8219,,"1,488,427",59.71853654
16,807147,19.19353805,284.8087348,428,428,66.54409692,60938.58931,949805.4112,,"1,488,427",63.81269698
17,3655615,94.53567701,379.3444118,428,428,88.63187193,280070.3844,,,"1,488,427",82.62923177
18,39827,0.6954125581,380.0398244,428,428,88.7943515,2959.835775,,,"1,488,427",82.8280884
19,,,,428,428,,,,,"1,488,427",
20,,,,428,428,,,,,"1,488,427",
21,,,,428,428,,,,,"1,488,427",
22,,,,428,428,,,,,"1,488,427",
23,,,,428,428,,,,,"1,488,427",
24,,,,428,428,,,,,"1,488,427",
25,,,,428,428,,,,,"1,488,427",
26,,,,428,428,,,,,"1,488,427",
27,,,,428,428,,,,,"1,488,427",
28,,,,428,428,,,,,"1,488,427",
29,,,,428,428,,,,,"1,488,427",
30,,,,428,428,,,,,"1,488,427",
31,,,,428,428,,,,,"1,488,427",
32,,,,428,428,,,,,"1,488,427",
33,,,,428,428,,,,,"1,488,427",
34,,,,428,428,,,,,"1,488,427",
35,,,,428,428,,,,,"1,488,427",
36,,,,428,428,,,,,"1,488,427",
37,,,,428,428,,,,,"1,488,427",
38,,,,428,428,,,,,"1,488,427",
39,,,,428,428,,,,,"1,488,427",
40,,,,428,428,,,,,"1,488,427",
41,,,,428,428,,,,,"1,488,427",
42,,,,428,428,,,,,"1,488,427",
43,,,,428,428,,,,,"1,488,427",
44,,,,428,428,,,,,"1,488,427",
45,,,,428,428,,,,,"1,488,427",
46,,,,428,428,,,,,"1,488,427",
47,,,,428,428,,,,,"1,488,427",
48,,,,428,428,,,,,"1,488,427",
49,,,,428,428,,,,,"1,488,427",
50,,,,428,428,,,,,"1,488,427",
51,,,,428,428,,,,,"1,488,427",
52,,,,428,428,,,,,"1,488,427",
