week,alerts,above_ground_carbon_loss,cumulative_emissions,baseline_emissions,emissions_target,percent_to_emissions_target,area,cumulative_deforestation,deforestation_baseline,deforestation_target,percent_to_deforestation_target
1,55878,2.499383789,2.499383789,82,41.04496782,6.089379336,4294.622788,"4,295","201,629","100,815",4.259923892
2,260330,12.75818789,15.25757168,82,41.04496782,37.17281921,20015.6363,"24,310","201,629","100,815",24.11384157
3,311466,11.87301087,27.13058255,82,41.04496782,66.09965605,23942.50553,"48,253","201,629","100,815",47.86290089
4,12452,0.5285828797,27.65916543,82,41.04496782,67.38747014,957.2463612,"49,210","201,629","100,815",48.81241307
5,205856,9.113731379,36.77289681,82,41.04496782,89.59173016,15826.97122,"65,037","201,629","100,815",64.51150846
6,11985,0.595238274,37.36813509,82,41.04496782,91.04194027,921.6979033,"65,959","201,629","100,815",65.4257594
7,11196,0.5211899674,37.88932505,82,41.04496782,92.31174263,861.0304887,"66,820","201,629","100,815",66.27983309
8,191668,9.143156627,47.03248168,82,41.04496782,114.5876929,14735.55975,"81,555","201,629","100,815",80.8963352
9,75866,3.385095364,50.41757704,82,41.04496782,122.8349777,5831.791924,"87,387","201,629","100,815",86.6810085
10,268262,11.35695602,61.77453307,82,41.04496782,150.5045231,20624.2249,"108,011","201,629","100,815",107.1385976
11,1230432,49.00182833,110.7763614,82,41.04496782,269.8902382,94579.02423,"202,590","201,629","100,815",200.9534598
12,126357,5.043581319,115.8199427,82,41.04496782,282.1781789,9716.423416,"212,307","201,629","100,815",210.5913782
13,48271,2.020888542,117.8408313,82,41.04496782,287.1017753,3711.231293,"216,018","201,629","100,815",214.2726242
14,35116,1.64769821,119.4885295,82,41.04496782,291.1161485,2699.477268,"218,717","201,629","100,815",216.9502908
15,77745,3.575077624,123.0636071,82,41.04496782,299.826297,5978.685859,"224,696","201,629","100,815",222.8806711
16,94440,4.471104896,127.534712,82,41.04496782,310.7194835,7260.355623,"231,956","201,629","100,815",230.0823659
17,340688,14.47496139,142.0096734,82,41.04496782,345.9855883,26188.30753,"258,145","201,629","100,815",256.059082
18,107066,4.501240891,146.5109143,82,41.04496782,356.9521967,8229.703774,"266,374","201,629","100,815",264.2222929
19,,,,82,41.04496782,,,,"201,629","100,815",
20,,,,82,41.04496782,,,,"201,629","100,815",
21,,,,82,41.04496782,,,,"201,629","100,815",
22,,,,82,41.04496782,,,,"201,629","100,815",
23,,,,82,41.04496782,,,,"201,629","100,815",
24,,,,82,41.04496782,,,,"201,629","100,815",
25,,,,82,41.04496782,,,,"201,629","100,815",
26,,,,82,41.04496782,,,,"201,629","100,815",
27,,,,82,41.04496782,,,,"201,629","100,815",
28,,,,82,41.04496782,,,,"201,629","100,815",
29,,,,82,41.04496782,,,,"201,629","100,815",
30,,,,82,41.04496782,,,,"201,629","100,815",
31,,,,82,41.04496782,,,,"201,629","100,815",
32,,,,82,41.04496782,,,,"201,629","100,815",
33,,,,82,41.04496782,,,,"201,629","100,815",
34,,,,82,41.04496782,,,,"201,629","100,815",
35,,,,82,41.04496782,,,,"201,629","100,815",
36,,,,82,41.04496782,,,,"201,629","100,815",
37,,,,82,41.04496782,,,,"201,629","100,815",
38,,,,82,41.04496782,,,,"201,629","100,815",
39,,,,82,41.04496782,,,,"201,629","100,815",
40,,,,82,41.04496782,,,,"201,629","100,815",
41,,,,82,41.04496782,,,,"201,629","100,815",
42,,,,82,41.04496782,,,,"201,629","100,815",
43,,,,82,41.04496782,,,,"201,629","100,815",
44,,,,82,41.04496782,,,,"201,629","100,815",
45,,,,82,41.04496782,,,,"201,629","100,815",
46,,,,82,41.04496782,,,,"201,629","100,815",
47,,,,82,41.04496782,,,,"201,629","100,815",
48,,,,82,41.04496782,,,,"201,629","100,815",
49,,,,82,41.04496782,,,,"201,629","100,815",
50,,,,82,41.04496782,,,,"201,629","100,815",
51,,,,82,41.04496782,,,,"201,629","100,815",
52,,,,82,41.04496782,,,,"201,629","100,815",
