week,alerts,above_ground_carbon_loss,cumulative_emissions,baseline_emissions,emissions_target,percent_to_emissions_target,area,cumulative_deforestation,deforestation_baseline,deforestation_target,percent_to_deforestation_target
1,16024,0.4439896664,0.4439896664,46.92503745,23.46251872,1.892335907,1204.380224,1204.380224,135053.3513,67526.67565,1.783562144
2,60074,1.698700779,2.142690446,46.92503745,23.46251872,9.132397383,4567.437261,5771.817486,135053.3513,67526.67565,8.547462806
3,12835,0.3487038732,2.491394319,46.92503745,23.46251872,10.61861409,980.4307211,6752.248207,135053.3513,67526.67565,9.999378974
4,97720,2.856300783,5.347695102,46.92503745,23.46251872,22.79250222,7445.98255,14198.23076,135053.3513,67526.67565,21.02610653
5,15224,0.4285845613,5.776279663,46.92503745,23.46251872,24.61917977,1164.389196,15362.61995,135053.3513,67526.67565,22.75044611
6,310,0.0076998785,5.783979542,46.92503745,23.46251872,24.65199755,23.78056521,15386.40052,135053.3513,67526.67565,22.78566266
7,3164,0.0847940144,5.868773556,46.92503745,23.46251872,25.01339956,239.0911274,15625.49165,135053.3513,67526.67565,23.13973181
8,4723,0.1386112233,6.007384779,46.92503745,23.46251872,25.60417682,360.9441996,15986.43584,135053.3513,67526.67565,23.67425272
9,9234,0.2731408742,6.280525654,46.92503745,23.46251872,26.76833518,706.1003958,16692.53624,135053.3513,67526.67565,24.71991414
10,3109,0.0756371565,6.35616281,46.92503745,23.46251872,27.09070959,236.0189163,16928.55516,135053.3513,67526.67565,25.06943366
11,14831,0.4263946881,6.782557498,46.92503745,23.46251872,28.90805364,1132.855884,18061.41104,135053.3513,67526.67565,26.74707568
12,17276,0.4684011164,7.250958615,46.92503745,23.46251872,30.90443401,1297.350542,19358.76158,135053.3513,67526.67565,28.66831722
13,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
14,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
15,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
16,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
17,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
18,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
19,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
20,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
21,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
22,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
23,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
24,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
25,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
26,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
27,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
28,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
29,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
30,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
31,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
32,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
33,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
34,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
35,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
36,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
37,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
38,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
39,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
40,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
41,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
42,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
43,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
44,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
45,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
46,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
47,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
48,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
49,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
50,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
51,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
52,,,,46.92503745,23.46251872,,,,135053.3513,67526.67565,
