week,alerts,above_ground_carbon_loss,cumulative_emissions,baseline_emissions,emissions_target,percent_to_emissions_target,area,cumulative_deforestation,deforestation_baseline,deforestation_target,percent_to_deforestation_target
1,3687,0.1681431626,0.1681431626,9.202262991,8.834172471,1.903326692,283.4413192,283.4413192,29188.32,28020.79,1.011539347
2,209,9.13E-03,0.1772774837,9.202262991,8.834172471,2.006724278,16.06255544,299.5038747,29188.32,28020.79,1.068863053
3,11097,0.4949722114,0.6722496951,9.202262991,8.834172471,7.609651015,852.9085331,1152.412408,29188.32,28020.79,4.112704872
4,1218,0.0486983182,0.7209480133,9.202262991,8.834172471,8.160900364,93.6823943,1246.094802,29188.32,28020.79,4.447036606
5,2164,0.1068602347,0.827808248,9.202262991,8.834172471,9.370523959,166.3345475,1412.42935,29188.32,28020.79,5.040647799
6,19930,0.9181248371,1.745933085,9.202262991,8.834172471,19.76340275,1532.399451,2944.828801,29188.32,28020.79,10.50944234
7,302,0.013114602,1.759047687,9.202262991,8.834172471,19.91185584,23.21482345,2968.043624,29188.32,28020.79,10.59229091
8,155014,7.298796353,9.05784404,9.202262991,8.834172471,102.5318904,11923.66587,14891.7095,29188.32,28020.79,53.14521589
9,1949,7.98E-02,9.13765795,9.202262991,8.834172471,103.4353583,149.4883257,15041.19782,29188.32,28020.79,53.67870665
10,7,3.59E-04,9.138017274,9.202262991,8.834172471,103.4394257,0.5380579651,15041.73588,29188.32,28020.79,53.68062686
11,5099,0.259383147,9.397400421,9.202262991,8.834172471,106.3755598,392.1074117,15433.84329,29188.32,28020.79,55.07997144
12,12188,0.5694469724,9.966847393,9.202262991,8.834172471,112.821517,937.4128376,16371.25613,29188.32,28020.79,58.42539042
13,30147,1.600352341,11.56719973,9.202262991,8.834172471,130.9369924,2316.915129,18688.17126,29188.32,28020.79,66.69394782
14,222,0.0148055235,11.58200526,9.202262991,8.834172471,131.1045861,17.05128127,18705.22254,29188.32,28020.79,66.75480007
15,1449,7.88E-02,11.6607663,9.202262991,8.834172471,131.9961358,111.4067369,18816.62928,29188.32,28020.79,67.15238606
16,1351,0.0779927854,11.73875908,9.202262991,8.834172471,132.8789892,103.7649966,18920.39428,29188.32,28020.79,67.52270037
17,422,1.54E-02,11.75415224,9.202262991,8.834172471,133.0532348,32.45594356,18952.85022,29188.32,28020.79,67.63852845
18,0,0,,9.202262991,8.834172471,,0,,29188.32,28020.79,
19,0,0,,9.202262991,8.834172471,,0,,29188.32,28020.79,
20,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
21,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
22,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
23,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
24,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
25,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
26,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
27,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
28,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
29,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
30,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
31,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
32,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
33,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
34,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
35,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
36,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
37,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
38,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
39,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
40,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
41,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
42,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
43,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
44,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
45,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
46,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
47,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
48,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
49,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
50,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
51,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
52,,,,9.202262991,8.834172471,,,,29188.32,28020.79,
