week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,479023,1.50E+01,1.50E+01,428,214,3.51263218,36522.75476,36522.75476,1488427.00,744214.00,2.453782064
2,655342,21.46770673,36.50177246,428,214,8.52845151,49926.21008,86448.96484,1488427.00,744214.00,5.808075562
3,365001,1.28E+01,49.33104942,428,214,11.52594613,27076.02189,113524.9867,1488427.00,744214.00,7.627178675
4,555443,1.96E+01,68.97905601,428,214,16.11660187,41818.84978,155343.8365,1488427.00,744214.00,10.436779
5,417425,1.10E+01,80.02099758,428,214,18.69649476,30995.57895,186339.4155,1488427.00,744214.00,12.51921763
6,852613,2.46E+01,104.604456,428,214,24.44029346,64165.58182,250504.9973,1488427.00,744214.00,16.83018363
7,670408,1.99E+01,124.5017727,428,214,29.08919924,50202.70925,300707.7065,1488427.00,744214.00,20.20305373
8,659774,1.86E+01,143.1167782,428,214,33.43849958,49915.39619,350623.1027,1488427.00,744214.00,23.5566207
9,245686,6.88E+00,149.9992146,428,214,35.04654547,18483.50987,369106.6126,1488427.00,744214.00,24.7984357
10,219103,6.85E+00,156.8443118,428,214,36.64586724,16055.04713,385161.6597,1488427.00,744214.00,25.87709439
11,158479,4.36E+00,161.2014854,428,214,37.66389845,11612.29032,396773.95,1488427.00,744214.00,26.65726637
12,230659,6.52E+00,167.7193738,428,214,39.18676958,17227.31515,414001.2652,1488427.00,744214.00,27.8146839
13,85092,2.25E+00,169.9688476,428,214,39.71234757,6294.755813,420296.021,1488427.00,744214.00,28.23759721
14,236930,6.955786424,176.924634,428,214,41.33753132,17400.95298,437696.974,1488427.00,744214.00,29.40668061
15,245056,7.378192367,184.3028264,428,214,43.06140804,17963.19703,455660.171,1488427.00,744214.00,30.61353839
16,301432,10.1678697,194.4706961,428,214,45.43707853,22579.53473,478239.7057,1488427.00,744214.00,32.13054491
17,129641,4.297381195,198.7680773,428,214,46.44113956,9687.844167,487927.5499,1488427.00,744214.00,32.78142293
18,16857,5.32E-01,199.3003102,428,214,46.56549304,1251.054265,489178.6042,1488427.00,744214.00,32.86547504
19,446,0.0115379606,199.3118482,428,214,46.56818883,32.64367921,489211.2479,1488427.00,744214.00,32.86766821
20,,,,428,214,,,,1488427.00,744214.00,
21,,,,428,214,,,,1488427.00,744214.00,
22,,,,428,214,,,,1488427.00,744214.00,
23,,,,428,214,,,,1488427.00,744214.00,
24,,,,428,214,,,,1488427.00,744214.00,
25,,,,428,214,,,,1488427.00,744214.00,
26,,,,428,214,,,,1488427.00,744214.00,
27,,,,428,214,,,,1488427.00,744214.00,
28,,,,428,214,,,,1488427.00,744214.00,
29,,,,428,214,,,,1488427.00,744214.00,
30,,,,428,214,,,,1488427.00,744214.00,
31,,,,428,214,,,,1488427.00,744214.00,
32,,,,428,214,,,,1488427.00,744214.00,
33,,,,428,214,,,,1488427.00,744214.00,
34,,,,428,214,,,,1488427.00,744214.00,
35,,,,428,214,,,,1488427.00,744214.00,
36,,,,428,214,,,,1488427.00,744214.00,
37,,,,428,214,,,,1488427.00,744214.00,
38,,,,428,214,,,,1488427.00,744214.00,
39,,,,428,214,,,,1488427.00,744214.00,
40,,,,428,214,,,,1488427.00,744214.00,
41,,,,428,214,,,,1488427.00,744214.00,
42,,,,428,214,,,,1488427.00,744214.00,
43,,,,428,214,,,,1488427.00,744214.00,
44,,,,428,214,,,,1488427.00,744214.00,
45,,,,428,214,,,,1488427.00,744214.00,
46,,,,428,214,,,,1488427.00,744214.00,
47,,,,428,214,,,,1488427.00,744214.00,
48,,,,428,214,,,,1488427.00,744214.00,
49,,,,428,214,,,,1488427.00,744214.00,
50,,,,428,214,,,,1488427.00,744214.00,
51,,,,428,214,,,,1488427.00,744214.00,
52,,,,428,214,,,,1488427.00,744214.00,
