week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,3687,1.68E-01,1.68E-01,9.202262991,4.601131495,3.654387248,283.4413192,283.4413192,29188.32,14594.16,1.942155546
2,209,9.13E-03,0.1772774837,9.202262991,4.601131495,3.852910614,16.06255544,299.5038747,29188.32,14594.16,2.052217062
3,11097,4.95E-01,0.6722496951,9.202262991,4.601131495,14.61052995,852.9085331,1152.412408,29188.32,14594.16,7.896393353
4,1218,4.87E-02,0.7209480133,9.202262991,4.601131495,15.6689287,93.6823943,1246.094802,29188.32,14594.16,8.538310284
5,2164,1.07E-01,0.827808248,9.202262991,4.601131495,17.991406,166.3345475,1412.42935,29188.32,14594.16,9.678043774
6,19930,9.18E-01,1.745933085,9.202262991,4.601131495,37.94573328,1532.399451,2944.828801,29188.32,14594.16,20.1781293
7,302,1.31E-02,1.759047687,9.202262991,4.601131495,38.23076321,23.21482345,2968.043624,29188.32,14594.16,20.33719855
8,155014,7.30E+00,9.05784404,9.202262991,4.601131495,196.8612297,11923.66587,14891.7095,29188.32,14594.16,102.0388145
9,1949,7.98E-02,9.13765795,9.202262991,4.601131495,198.595888,149.4883257,15041.19782,29188.32,14594.16,103.0631168
10,7,3.59E-04,9.138017274,9.202262991,4.601131495,198.6036974,0.5380579651,15041.73588,29188.32,14594.16,103.0668036
11,5099,2.59E-01,9.397400421,9.202262991,4.601131495,204.2410748,392.1074117,15433.84329,29188.32,14594.16,105.7535452
12,12188,5.69E-01,9.966847393,9.202262991,4.601131495,216.6173126,937.4128376,16371.25613,29188.32,14594.16,112.1767496
13,30147,1.60E+00,11.56719973,9.202262991,4.601131495,251.3990253,2316.915129,18688.17126,29188.32,14594.16,128.0523798
14,222,0.0148055235,11.58200526,9.202262991,4.601131495,251.7208054,17.05128127,18705.22254,29188.32,14594.16,128.1692161
15,1449,7.88E-02,11.6607663,9.202262991,4.601131495,253.4325808,111.4067369,18816.62928,29188.32,14594.16,128.9325812
16,1351,0.0779927854,11.73875908,9.202262991,4.601131495,255.1276592,103.7649966,18920.39428,29188.32,14594.16,129.6435847
17,422,1.54E-02,11.75415224,9.202262991,4.601131495,255.4622108,32.45594356,18952.85022,29188.32,14594.16,129.8659746
18,0,0.00E+00,,9.202262991,4.601131495,,0,,29188.32,14594.16,
19,0,0,,9.202262991,4.601131495,,0,,29188.32,14594.16,
20,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
21,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
22,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
23,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
24,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
25,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
26,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
27,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
28,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
29,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
30,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
31,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
32,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
33,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
34,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
35,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
36,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
37,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
38,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
39,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
40,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
41,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
42,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
43,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
44,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
45,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
46,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
47,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
48,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
49,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
50,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
51,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
52,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
