week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,117,3.30E-03,3.30E-03,46.92503745,23.46251872,0.0140792436,8.944448346,8.944448346,135053.3513,67526.67565,0.0132457999
2,326,0.0141457585,0.0174491037,46.92503745,23.46251872,0.0743701215,24.53000079,33.47444913,135053.3513,67526.67565,0.0495721858
3,871,3.11E-02,0.0485822786,46.92503745,23.46251872,0.2070633557,65.66613683,99.14058596,135053.3513,67526.67565,0.1468169209
4,111,3.76E-03,0.0523427929,46.92503745,23.46251872,0.2230911078,8.373931183,107.5145171,135053.3513,67526.67565,0.1592178441
5,2322,1.05E-01,0.1573494227,46.92503745,23.46251872,0.6706416499,174.3669288,281.8814459,135053.3513,67526.67565,0.4174371731
6,7817,3.29E-01,0.4858564278,46.92503745,23.46251872,2.070776942,595.1957513,877.0771973,135053.3513,67526.67565,1.298860323
7,588,2.25E-02,0.5083144373,46.92503745,23.46251872,2.166495607,44.30377003,921.3809673,135053.3513,67526.67565,1.364469609
8,60,2.05E-03,0.5103608226,46.92503745,23.46251872,2.17521754,4.596397888,925.9773652,135053.3513,67526.67565,1.371276398
9,31,1.34E-03,0.5116963694,46.92503745,23.46251872,2.180909797,2.330511884,928.3078771,135053.3513,67526.67565,1.374727644
10,1282,5.02E-02,0.5619085285,46.92503745,23.46251872,2.394919894,97.80423162,1026.112109,135053.3513,67526.67565,1.519565563
11,310,9.95E-03,0.5718556325,46.92503745,23.46251872,2.437315615,23.32574717,1049.437856,135053.3513,67526.67565,1.554108574
12,1990,7.83E-02,0.6501178948,46.92503745,23.46251872,2.770878534,150.1915247,1199.629381,135053.3513,67526.67565,1.776526638
13,2748,1.15E-01,0.7647400114,46.92503745,23.46251872,3.259411406,209.5448222,1409.174203,135053.3513,67526.67565,2.086840777
14,11241,0.4795447432,1.244284755,46.92503745,23.46251872,5.30328721,854.1323196,2263.306522,135053.3513,67526.67565,3.351722117
15,4923,0.2138821474,1.458166902,46.92503745,23.46251872,6.214877948,374.0037177,2637.31024,135053.3513,67526.67565,3.905582815
16,2602,0.1098983228,1.568065225,46.92503745,23.46251872,6.683277458,197.8299957,2835.140236,135053.3513,67526.67565,4.198548512
17,3467,0.1343907446,1.70245597,46.92503745,23.46251872,7.256066536,263.3733161,3098.513552,135053.3513,67526.67565,4.588577065
18,12335,5.21E-01,2.223662429,46.92503745,23.46251872,9.47750945,942.5591608,4041.072713,135053.3513,67526.67565,5.984409382
19,2838,0.1194768637,2.343139293,46.92503745,23.46251872,9.986733822,214.3464956,4255.419208,135053.3513,67526.67565,
20,929,3.76E-02,2.380705584,46.92503745,23.46251872,,69.88273431,4325.301943,135053.3513,67526.67565,
21,20084,0.8176392386,3.198344822,46.92503745,23.46251872,,1525.946405,5851.248348,135053.3513,67526.67565,
22,1070,4.17E-02,3.240015467,46.92503745,23.46251872,,81.00082014,5932.249168,135053.3513,67526.67565,
23,16519,0.6727741823,3.91278965,46.92503745,23.46251872,,1252.814218,7185.063386,135053.3513,67526.67565,
24,15851,0.621279342,4.534068992,46.92503745,23.46251872,,1208.212232,8393.275618,135053.3513,67526.67565,
25,27758,1.144867348,5.678936339,46.92503745,23.46251872,,2113.918259,10507.19388,135053.3513,67526.67565,
26,29446,1.248581869,6.927518208,46.92503745,23.46251872,,2231.118432,12738.31231,135053.3513,67526.67565,
27,14664,0.6174898462,7.545008054,46.92503745,23.46251872,,1113.584017,13851.89633,135053.3513,67526.67565,
28,27095,1.016008328,8.561016382,46.92503745,23.46251872,,2049.502445,15901.39877,135053.3513,67526.67565,
29,34948,1.472010407,10.03302679,46.92503745,23.46251872,,2658.048102,18559.44687,135053.3513,67526.67565,
30,52532,2.196353877,12.22938067,46.92503745,23.46251872,,3987.652795,22547.09967,135053.3513,67526.67565,
31,164537,7.228816601,19.45819727,46.92503745,23.46251872,,12493.52939,35040.62906,135053.3513,67526.67565,
32,65987,2.73390513,22.1921024,46.92503745,23.46251872,,5027.053401,40067.68246,135053.3513,67526.67565,
33,55792,2.389846797,24.58194919,46.92503745,23.46251872,,4243.95224,44311.6347,135053.3513,67526.67565,
34,146472,6.362626018,30.94457521,46.92503745,23.46251872,,11102.3408,55413.9755,135053.3513,67526.67565,
35,84531,3.6453725,34.58994771,46.92503745,23.46251872,,6407.227075,61821.20257,135053.3513,67526.67565,
36,99421,4.276620305,38.86656802,46.92503745,23.46251872,,7539.637643,69360.84021,135053.3513,67526.67565,
37,98771,4.200428418,43.06699643,46.92503745,23.46251872,,7518.289463,76879.12968,135053.3513,67526.67565,
38,54149,2.19750977,45.2645062,46.92503745,23.46251872,,4116.01223,80995.14191,135053.3513,67526.67565,
39,33645,1.410040236,46.67454644,46.92503745,23.46251872,,2548.980054,83544.12196,135053.3513,67526.67565,
40,18402,0.7287868626,47.4033333,46.92503745,23.46251872,,1393.418563,84937.54052,135053.3513,67526.67565,
41,17046,0.758825588,48.16215889,46.92503745,23.46251872,,1292.648286,86230.18881,135053.3513,67526.67565,
42,16151,0.6773066783,48.83946557,46.92503745,23.46251872,,1216.505842,87446.69465,135053.3513,67526.67565,
43,74880,3.135049432,51.974515,46.92503745,23.46251872,,5690.759153,93137.4538,135053.3513,67526.67565,
44,21071,0.8351229246,52.80963793,46.92503745,23.46251872,,1603.211276,94740.66508,135053.3513,67526.67565,
45,13239,0.5875069919,53.39714492,46.92503745,23.46251872,,996.949724,95737.6148,135053.3513,67526.67565,
46,22038,0.9567517908,54.35389671,46.92503745,23.46251872,,1677.308513,97414.92332,135053.3513,67526.67565,
47,15461,0.6379395754,54.99183628,46.92503745,23.46251872,,1178.245198,98593.16852,135053.3513,67526.67565,
48,4755,0.1864133023,55.17824959,46.92503745,23.46251872,,359.6614908,98952.83001,135053.3513,67526.67565,
49,7825,0.3045880231,55.48283761,46.92503745,23.46251872,,592.4464382,99545.27644,135053.3513,67526.67565,
50,776,3.04E-02,55.51324613,46.92503745,23.46251872,,58.56328082,99603.83973,135053.3513,67526.67565,
51,3,3.27E-05,55.51327881,46.92503745,23.46251872,,0.2295880554,99604.06931,135053.3513,67526.67565,
52,77,2.79E-03,55.51606571,46.92503745,23.46251872,,5.863044482,99609.93236,135053.3513,67526.67565,
